+------+---------------------------------------------+------------------------------------------------------------------+--------------------------------------------------------------+----------------------------------------------+
| Line |                    Stack                    |                             Symbols                              |                            Input                             |                    Action                    |
+------+---------------------------------------------+------------------------------------------------------------------+--------------------------------------------------------------+----------------------------------------------+
|  1   |                    ['I0']                   |                              ['$']                               | ['LPAREN', 'ID', 'PLUS', 'ID', 'TIMES', 'ID', 'RPAREN', '$'] |                 Shift to I4                  |
|  2   |                 ['I0', 'I4']                |                         ['$', 'LPAREN']                          |      ['ID', 'PLUS', 'ID', 'TIMES', 'ID', 'RPAREN', '$']      |                 Shift to I5                  |
|  3   |              ['I0', 'I4', 'I5']             |                      ['$', 'LPAREN', 'ID']                       |         ['PLUS', 'ID', 'TIMES', 'ID', 'RPAREN', '$']         |            Reduce by factor -> ID            |
|  4   |              ['I0', 'I4', 'I3']             |                    ['$', 'LPAREN', 'factor']                     |         ['PLUS', 'ID', 'TIMES', 'ID', 'RPAREN', '$']         |           Reduce by term -> factor           |
|  5   |              ['I0', 'I4', 'I2']             |                     ['$', 'LPAREN', 'term']                      |         ['PLUS', 'ID', 'TIMES', 'ID', 'RPAREN', '$']         |         Reduce by expression -> term         |
|  6   |              ['I0', 'I4', 'I8']             |                  ['$', 'LPAREN', 'expression']                   |         ['PLUS', 'ID', 'TIMES', 'ID', 'RPAREN', '$']         |                 Shift to I6                  |
|  7   |           ['I0', 'I4', 'I8', 'I6']          |              ['$', 'LPAREN', 'expression', 'PLUS']               |             ['ID', 'TIMES', 'ID', 'RPAREN', '$']             |                 Shift to I5                  |
|  8   |        ['I0', 'I4', 'I8', 'I6', 'I5']       |           ['$', 'LPAREN', 'expression', 'PLUS', 'ID']            |                ['TIMES', 'ID', 'RPAREN', '$']                |            Reduce by factor -> ID            |
|  9   |        ['I0', 'I4', 'I8', 'I6', 'I3']       |         ['$', 'LPAREN', 'expression', 'PLUS', 'factor']          |                ['TIMES', 'ID', 'RPAREN', '$']                |           Reduce by term -> factor           |
|  10  |        ['I0', 'I4', 'I8', 'I6', 'I9']       |          ['$', 'LPAREN', 'expression', 'PLUS', 'term']           |                ['TIMES', 'ID', 'RPAREN', '$']                |                 Shift to I7                  |
|  11  |     ['I0', 'I4', 'I8', 'I6', 'I9', 'I7']    |      ['$', 'LPAREN', 'expression', 'PLUS', 'term', 'TIMES']      |                    ['ID', 'RPAREN', '$']                     |                 Shift to I5                  |
|  12  |  ['I0', 'I4', 'I8', 'I6', 'I9', 'I7', 'I5'] |   ['$', 'LPAREN', 'expression', 'PLUS', 'term', 'TIMES', 'ID']   |                       ['RPAREN', '$']                        |            Reduce by factor -> ID            |
|  13  | ['I0', 'I4', 'I8', 'I6', 'I9', 'I7', 'I10'] | ['$', 'LPAREN', 'expression', 'PLUS', 'term', 'TIMES', 'factor'] |                       ['RPAREN', '$']                        |     Reduce by term -> term TIMES factor      |
|  14  |        ['I0', 'I4', 'I8', 'I6', 'I9']       |          ['$', 'LPAREN', 'expression', 'PLUS', 'term']           |                       ['RPAREN', '$']                        | Reduce by expression -> expression PLUS term |
|  15  |              ['I0', 'I4', 'I8']             |                  ['$', 'LPAREN', 'expression']                   |                       ['RPAREN', '$']                        |                 Shift to I11                 |
|  16  |          ['I0', 'I4', 'I8', 'I11']          |             ['$', 'LPAREN', 'expression', 'RPAREN']              |                            ['$']                             | Reduce by factor -> LPAREN expression RPAREN |
|  17  |                 ['I0', 'I3']                |                         ['$', 'factor']                          |                            ['$']                             |           Reduce by term -> factor           |
|  18  |                 ['I0', 'I2']                |                          ['$', 'term']                           |                            ['$']                             |         Reduce by expression -> term         |
|  19  |                 ['I0', 'I1']                |                       ['$', 'expression']                        |                            ['$']                             |                    Accept                    |
+------+---------------------------------------------+------------------------------------------------------------------+--------------------------------------------------------------+----------------------------------------------+
